id,nombre,provincia,partido,periodoLegal,periodoReal,reemplazo,observaciones,foto,email,telefono,redes,partido_normalizado,rol_provincial,abstenciones,ausencias,lev.vot.,votos_negativos,votos_afirmativos,votos_total,participation_pct
586,"Cervi, Mario Pablo",Neuquén,Alianza la Libertad Avanza,"{'fin': '2031-12-09', 'inicio': '2025-12-10'}","{'fin': None, 'inicio': '2025-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/586.gif,,,,La Libertad Avanza,Mayoría,1,1,0.0,7,116,125,59.62
587,"Corroza, Julieta",Neuquén,La Neuquinidad,"{'fin': '2031-12-09', 'inicio': '2025-12-10'}","{'fin': None, 'inicio': '2025-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/587.gif,,,,la Neuquinidad,Primera Minoría,9,9,0.0,15,92,125,55.77
585,"Márquez, Nadia Judith",Neuquén,Alianza la Libertad Avanza,"{'fin': '2031-12-09', 'inicio': '2025-12-10'}","{'fin': None, 'inicio': '2025-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/585.gif,,,,La Libertad Avanza,Mayoría,0,0,,0,0,0,0.0
590,"Fullone, Enzo Paolo",Río Negro,Alianza la Libertad Avanza,"{'fin': '2031-12-09', 'inicio': '2025-12-26'}","{'fin': None, 'inicio': '2025-12-26'}",,,https://api.argentinadatos.com/static/senado/senadores/590.gif,,,,La Libertad Avanza,Primera Minoría,1,0,0.0,7,117,125,60.1
589,"Marks, Ana Inés",Río Negro,Fuerza Patria,"{'fin': '2031-12-09', 'inicio': '2025-12-10'}","{'fin': None, 'inicio': '2025-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/589.gif,,,,Fuerza Patria,Mayoría,1,0,1.0,86,37,124,59.62
588,"Soria, Martin Ignacio",Río Negro,Fuerza Patria,"{'fin': '2031-12-09', 'inicio': '2025-12-10'}","{'fin': None, 'inicio': '2025-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/588.gif,,,,Fuerza Patria,Mayoría,0,0,,0,0,0,0.0
592,"Guzmán Coraita, Gonzalo",Salta,Alianza la Libertad Avanza,"{'fin': '2031-12-09', 'inicio': '2025-12-10'}","{'fin': None, 'inicio': '2025-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/592.gif,,,,La Libertad Avanza,Mayoría,1,4,0.0,7,113,125,58.17
591,"Orozco, María Emilia",Salta,Alianza la Libertad Avanza,"{'fin': '2031-12-09', 'inicio': '2025-12-10'}","{'fin': None, 'inicio': '2025-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/591.gif,,,,La Libertad Avanza,Mayoría,1,4,1.0,7,112,124,57.69
593,"Royon, Flavia Gabriela",Salta,Primero los Salteños,"{'fin': '2031-12-09', 'inicio': '2025-12-10'}","{'fin': None, 'inicio': '2025-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/593.gif,,,,Primero Los Salteños,Primera Minoría,0,0,,0,0,0,0.0
562,"Giménez Navarro, María Celeste",San Juan,Alianza Unión por la Patria,"{'fin': '2029-12-09', 'inicio': '2023-12-10'}","{'fin': None, 'inicio': '2023-12-10'}",,,https://api.argentinadatos.com/static/senado/senadores/562.gif,,,,Unión por la Patria,Mayoría,1,0,0.0,87,37,125,60.1
