fecha,tipo,nro_sesion,nro_reunion,url
24-02-2021,PREPARATORIA,00,01,https://www.senado.gov.ar/parlamentario/sesiones/24-02-2021/01/downloadTac
24-02-2021,EXTRAORDINARIA,02,30,https://www.senado.gov.ar/parlamentario/sesiones/24-02-2021/30/downloadTac
04-02-2021,EXTRAORDINARIA,01,29,https://www.senado.gov.ar/parlamentario/sesiones/04-02-2021/29/downloadTac
29-12-2020,ESPECIAL,23,28,https://www.senado.gov.ar/parlamentario/sesiones/29-12-2020/28/downloadTac
10-12-2020,ESPECIAL,22,27,https://www.senado.gov.ar/parlamentario/sesiones/10-12-2020/27/downloadTac
04-12-2020,ESPECIAL,21,26,https://www.senado.gov.ar/parlamentario/sesiones/04-12-2020/26/downloadTac
30-11-2020,ORDINARIA CONTINUACIÓN,03,25,https://www.senado.gov.ar/parlamentario/sesiones/30-11-2020/25/downloadTac
27-11-2020,ESPECIAL,20,24,https://www.senado.gov.ar/parlamentario/sesiones/27-11-2020/24/downloadTac
26-11-2020,ORDINARIA,03,23,https://www.senado.gov.ar/parlamentario/sesiones/26-11-2020/23/downloadTac
12-11-2020,ESPECIAL,19,22,https://www.senado.gov.ar/parlamentario/sesiones/12-11-2020/22/downloadTac
05-11-2020,ESPECIAL,18,21,https://www.senado.gov.ar/parlamentario/sesiones/05-11-2020/21/downloadTac
30-10-2020,ESPECIAL,17,20,https://www.senado.gov.ar/parlamentario/sesiones/30-10-2020/20/downloadTac
29-10-2020,ORDINARIA,2,19,https://www.senado.gov.ar/parlamentario/sesiones/29-10-2020/19/downloadTac
15-10-2020,ORDINARIA,1,18,https://www.senado.gov.ar/parlamentario/sesiones/15-10-2020/18/downloadTac
08-10-2020,ESPECIAL,16,17,https://www.senado.gov.ar/parlamentario/sesiones/08-10-2020/17/downloadTac
07-10-2020,INFORMATIVA ESPECIAL,15,16,https://www.senado.gov.ar/parlamentario/sesiones/07-10-2020/16/downloadTac
02-10-2020,ESPECIAL,14,15,https://www.senado.gov.ar/parlamentario/sesiones/02-10-2020/15/downloadTac
16-09-2020,ESPECIAL,13,14,https://www.senado.gov.ar/parlamentario/sesiones/16-09-2020/14/downloadTac
03-09-2020,ESPECIAL,12,13,https://www.senado.gov.ar/parlamentario/sesiones/03-09-2020/13/downloadTac
27-08-2020,ESPECIAL,11,12,https://www.senado.gov.ar/parlamentario/sesiones/27-08-2020/12/downloadTac
13-08-2020,ESPECIAL,10,11,https://www.senado.gov.ar/parlamentario/sesiones/13-08-2020/11/downloadTac
30-07-2020,ESPECIAL,09,10,https://www.senado.gov.ar/parlamentario/sesiones/30-07-2020/10/downloadTac
23-07-2020,ESPECIAL,08,09,https://www.senado.gov.ar/parlamentario/sesiones/23-07-2020/09/downloadTac
24-06-2020,ESPECIAL,07,08,https://www.senado.gov.ar/parlamentario/sesiones/24-06-2020/08/downloadTac
18-06-2020,INFORMATIVA ESPECIAL,06,07,https://www.senado.gov.ar/parlamentario/sesiones/18-06-2020/07/downloadTac
11-06-2020,ESPECIAL,05,06,https://www.senado.gov.ar/parlamentario/sesiones/11-06-2020/06/downloadTac
04-06-2020,ESPECIAL,04,05,https://www.senado.gov.ar/parlamentario/sesiones/04-06-2020/05/downloadTac
21-05-2020,ESPECIAL,03,04,https://www.senado.gov.ar/parlamentario/sesiones/21-05-2020/04/downloadTac
13-05-2020,ESPECIAL,02,03,https://www.senado.gov.ar/parlamentario/sesiones/13-05-2020/03/downloadTac
12-03-2020,ESPECIAL,01,02,https://www.senado.gov.ar/parlamentario/sesiones/12-03-2020/02/downloadTac
01-03-2020,ASAMBLEA,00,00,https://www.senado.gov.ar/parlamentario/sesiones/01-03-2020/00/downloadTac
28-02-2020,EXTRAORDINARIA,04,14,https://www.senado.gov.ar/parlamentario/sesiones/28-02-2020/14/downloadTac
20-02-2020,PREPARATORIA,00,01,https://www.senado.gov.ar/parlamentario/sesiones/20-02-2020/01/downloadTac
20-02-2020,EXTRAORDINARIA,03,13,https://www.senado.gov.ar/parlamentario/sesiones/20-02-2020/13/downloadTac
05-02-2020,ESPECIAL EXTRAORDINARIA,02,12,https://www.senado.gov.ar/parlamentario/sesiones/05-02-2020/12/downloadTac
20-12-2019,EXTRAORDINARIA,01,11,https://www.senado.gov.ar/parlamentario/sesiones/20-12-2019/11/downloadTac
10-12-2019,ASAMBLEA,00,00,https://www.senado.gov.ar/parlamentario/sesiones/10-12-2019/00/downloadTac
27-11-2019,ESPECIAL,06,10,https://www.senado.gov.ar/parlamentario/sesiones/27-11-2019/10/downloadTac
13-11-2019,ASAMBLEA,00,00,https://www.senado.gov.ar/parlamentario/sesiones/13-11-2019/00/downloadTac
13-11-2019,ESPECIAL,05,09,https://www.senado.gov.ar/parlamentario/sesiones/13-11-2019/09/downloadTac
18-09-2019,ESPECIAL,04,08,https://www.senado.gov.ar/parlamentario/sesiones/18-09-2019/08/downloadTac
17-07-2019,ORDINARIA,02,07,https://www.senado.gov.ar/parlamentario/sesiones/17-07-2019/07/downloadTac
22-05-2019,ESPECIAL,03,06,https://www.senado.gov.ar/parlamentario/sesiones/22-05-2019/06/downloadTac
16-04-2019,ESPECIAL,02,05,https://www.senado.gov.ar/parlamentario/sesiones/16-04-2019/05/downloadTac
27-03-2019,ORDINARIA CONTINUACIÓN,01,03,https://www.senado.gov.ar/parlamentario/sesiones/27-03-2019/03/downloadTac
27-03-2019,INFORMATIVA ESPECIAL,01,04,https://www.senado.gov.ar/parlamentario/sesiones/27-03-2019/04/downloadTac
20-03-2019,ORDINARIA,01,02,https://www.senado.gov.ar/parlamentario/sesiones/20-03-2019/02/downloadTac
01-03-2019,ASAMBLEA,00,00,https://www.senado.gov.ar/parlamentario/sesiones/01-03-2019/00/downloadTac
27-02-2019,PREPARATORIA,00,01,https://www.senado.gov.ar/parlamentario/sesiones/27-02-2019/01/downloadTac
19-12-2018,EXTRAORDINARIA,02,20,https://www.senado.gov.ar/parlamentario/sesiones/19-12-2018/20/downloadTac
12-12-2018,EXTRAORDINARIA,01,19,https://www.senado.gov.ar/parlamentario/sesiones/12-12-2018/19/downloadTac
